"itc","transaction_type","pos_entry_mode","CARD_PRESENT/CARD_NOT_PRESENT","transaction_status","ca_name","ca_city","ca_country","date","eci","txn_amt","txn_curr","bill_curr","bill_amt","issuerfee","networkname","mcc"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *NGBMVJLX52,fb.me/ads,IRL,2025-03-17 06:52:19.929,Non 3DS Txn,55.00,"840","368",72049.98,4683.25,VISA,"7311"
"100.20.100",Online Refund,CONTACTLESS,CARD_PRESENT,Approved,TEST                     ,Erbil        ,IRQ,2025-03-17 06:06:21.148,NA,3.00,"368",,,,CBI,"7299"
"100.20.100",Online Refund,ICC,CARD_PRESENT,Approved,TEST                     ,Erbil        ,IRQ,2025-03-17 05:55:58.034,NA,1.00,"368",,,,CBI,"7299"
"100.20.100",Online Refund,CONTACTLESS,CARD_PRESENT,Approved,TEST                     ,Erbil        ,IRQ,2025-03-17 05:54:59.393,NA,1.00,"368",,,,CBI,"7299"
"100.00.100",Online Authorization,CONTACTLESS,CARD_PRESENT,Approved,TEST                     ,Erbil        ,IRQ,2025-03-17 05:53:33.136,NA,1.00,"368",,,0.01,CBI,"7299"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,TEST                     ,Erbil        ,IRQ,2025-03-17 05:53:17.388,NA,1.00,"368",,,0.01,CBI,"7299"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,APPLE.COM/BILL,ITUNES.COM,IRL,2025-03-17 04:40:53.866,Non 3DS Txn,0.49,"840","368",641.90,41.72,VISA,"5818"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,APPLE.COM/BILL,ITUNES.COM,IRL,2025-03-17 03:39:28.279,Non 3DS Txn,9.99,"840","368",13086.90,850.65,VISA,"5818"
"222.00.200",Clearing,MANUAL (key entry),CARD_NOT_PRESENT,Approved,"2COCOM*2CO.COM*MAXON     ","8882471614   ",USA,2025-03-17 03:00:00.459,Non 3DS Txn,118.67,"840","368",155457.65,10104.75,VISA,"5818"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *7QQ6JLGGV2       ,fb.me/ads    ,IRL,2025-03-17 03:00:00.270,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *KS77NLUFV2       ,fb.me/ads    ,IRL,2025-03-17 03:00:00.052,Non 3DS Txn,5.05,"840","368",6615.50,430.01,VISA,"7311"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,CLAUDE.AI SUBSCRIPTION,+14152360599,USA,2025-03-17 02:56:45.232,Non 3DS Txn,20.00,"840","368",26199.99,1703.00,VISA,"5734"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,MICROSOFT#G083340119,MSBILL.INFO,IRL,2025-03-17 02:53:36.085,,12.50,"840","368",16375.00,1064.37,VISA,"5045"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,APPLE.COM/BILL,ITUNES.COM,IRL,2025-03-17 02:22:30.661,Non 3DS Txn,5.49,"840","368",7191.90,467.47,VISA,"5818"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *3K6Z9MUGV2,fb.me/ads,IRL,2025-03-17 01:15:30.370,Non 3DS Txn,6.00,"840","368",7860.00,510.90,VISA,"7311"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,APPLE.COM/BILL,ITUNES.COM,IRL,2025-03-16 23:58:40.641,Non 3DS Txn,3.99,"840","368",5226.90,339.75,VISA,"5818"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Minimum account balance limit reached,APPLE.COM/BILL,ITUNES.COM,IRL,2025-03-16 22:12:09.616,Non 3DS Txn,3.99,"840","368",5226.90,339.75,VISA,"5818"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Minimum account balance limit reached,ATLASSIAN,+14157011110,USA,2025-03-16 20:34:27.628,Non 3DS Txn,99.84,"840","368",130790.36,8501.37,VISA,"5734"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Minimum account balance limit reached,ATLASSIAN,+14157011110,USA,2025-03-16 20:18:32.402,Non 3DS Txn,99.84,"840","368",130790.36,8501.37,VISA,"5734"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *TPJ35L8GV2,fb.me/ads,IRL,2025-03-16 17:23:51.273,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *LE4VQJCX52,fb.me/ads,IRL,2025-03-16 17:09:52.937,Non 3DS Txn,55.00,"840","368",72049.98,4683.25,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Twimalik Smoke           ,Sulaymaniyah ,IRQ,2025-03-16 13:09:54.206,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Twimalik Smoke           ,Sulaymaniyah ,IRQ,2025-03-16 13:08:49.629,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-16 13:04:29.825,NA,1.00,"368",,,0.01,CBI,"4814"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 13:00:40.412,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 13:00:16.083,NA,1.00,"368",,,0.01,CBI,"5993"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:58:09.540,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Minimum account balance limit reached,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:57:47.042,NA,100000.00,"368",,,1000.00,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:57:03.076,NA,1.00,"368",,,0.01,CBI,"5993"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Jhe Jutyar               ,Duhok        ,IRQ,2025-03-16 12:46:57.957,NA,1.00,"368",,,0.01,CBI,"5499"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Jhe Jutyar               ,Duhok        ,IRQ,2025-03-16 12:46:33.621,NA,1.00,"368",,,0.01,CBI,"5499"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Peshangay Sarkawt        ,Sulaymaniyah ,IRQ,2025-03-16 12:32:07.723,NA,1.00,"368",,,0.01,CBI,"5732"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Peshangay Sarkawt        ,Sulaymaniyah ,IRQ,2025-03-16 12:26:03.377,NA,1.00,"368",,,0.01,CBI,"5732"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Start Click              ,Duhok        ,IRQ,2025-03-16 12:10:26.635,NA,1.00,"368",,,0.01,CBI,"5732"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Start Click              ,Duhok        ,IRQ,2025-03-16 12:08:51.334,NA,1.00,"368",,,0.01,CBI,"5732"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Baby Center              ,Duhok        ,IRQ,2025-03-16 12:00:10.436,NA,1.00,"368",,,0.01,CBI,"5641"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Baby Center              ,Duhok        ,IRQ,2025-03-16 11:59:23.507,NA,1.00,"368",,,0.01,CBI,"5641"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Niga Warehouse           ,Sulaymaniyah ,IRQ,2025-03-16 11:35:12.985,NA,1.00,"368",,,0.01,CBI,"5719"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Niga Warehouse           ,Sulaymaniyah ,IRQ,2025-03-16 11:34:39.747,NA,1.00,"368",,,0.01,CBI,"5719"
wdebit,wdebit,,,Approved,,,,2025-03-16 08:57:17.972,NA,33000.00,"368",,,0.00,,
wdebit,wdebit,,,Approved,,,,2025-03-16 08:57:16.364,NA,1000.00,"368",,,0.00,,
applyCharges,applyCharges,,,Approved,,,,2025-03-16 08:53:23.417,NA,3000.00,"368",,,,,
wcredit,wcredit,,,Approved,,,,2025-03-16 08:46:24.119,NA,91500.00,"368",,,5500.00,,
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,A&SHOES SHOP             ,Erbil        ,IRQ,2025-03-16 08:36:42.251,NA,1.00,"368",,,0.01,CBI,"5661"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,A&SHOES SHOP             ,Erbil        ,IRQ,2025-03-16 08:36:19.403,NA,1.00,"368",,,0.01,CBI,"5661"
"100.00.113",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Account Verification without CVV2 transaction is not allowed,Visa Provisioning Service,"",IRQ,2025-03-16 08:33:01.623,NA,0.00,"840",,,,VISA,"6012"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *CN73GJU432,Dublin,IRL,2025-03-16 08:32:59.689,Non 3DS Txn,33.00,"840","368",43229.99,2809.95,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Europe Home              ,Erbil        ,IRQ,2025-03-16 07:28:06.107,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Europe Home              ,Erbil        ,IRQ,2025-03-16 07:27:37.695,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Chwarchra Pharmacy       ,Sulaymaniyah ,IRQ,2025-03-16 07:22:16.312,NA,1.00,"368",,,0.01,CBI,"5912"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Chwarchra Pharmacy       ,Sulaymaniyah ,IRQ,2025-03-16 07:21:46.753,NA,1.00,"368",,,0.01,CBI,"5912"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:11:37.701,NA,1.00,"368",,,0.01,CBI,"7997"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:11:11.760,NA,1.00,"368",,,0.01,CBI,"7997"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Incorrect PIN,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:10:00.440,NA,1.00,"368",,,,CBI,"7997"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *MWDTGMCGV2,fb.me/ads,IRL,2025-03-16 06:50:29.369,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Zada Oil                 ,Duhok        ,IRQ,2025-03-16 06:36:21.024,NA,1.00,"368",,,0.01,CBI,"5541"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Zada Oil                 ,Duhok        ,IRQ,2025-03-16 06:35:47.879,NA,1.00,"368",,,0.01,CBI,"5541"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Media Saray Cafe         ,Duhok        ,IRQ,2025-03-16 06:29:55.991,NA,1.00,"368",,,0.01,CBI,"5812"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Media Saray Cafe         ,Duhok        ,IRQ,2025-03-16 06:29:13.003,NA,1.00,"368",,,0.01,CBI,"5812"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Mahalat Al Badeea        ,Saladin      ,IRQ,2025-03-16 06:02:11.296,NA,1.00,"368",,,0.01,CBI,"5999"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Mahalat Al Badeea        ,Saladin      ,IRQ,2025-03-16 06:01:30.193,NA,1.00,"368",,,0.01,CBI,"5999"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *SC9LWJGX52       ,fb.me/ads    ,IRL,2025-03-16 03:00:00.051,Non 3DS Txn,55.00,"840","368",72049.98,4683.25,VISA,"7311"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-16 00:18:20.515,NA,10.00,"368",,,0.10,CBI,"4814"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-15 22:04:18.484,NA,10.00,"368",,,0.10,CBI,"4814"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *7QQ6JLGGV2,fb.me/ads,IRL,2025-03-15 19:10:51.922,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Durrat Al Elm            ,Baghdad      ,IRQ,2025-03-15 12:51:46.261,NA,1.00,"368",,,0.01,CBI,"5047"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Durrat Al Elm            ,Baghdad      ,IRQ,2025-03-15 12:51:08.339,NA,1.00,"368",,,0.01,CBI,"5047"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Global Education         ,Duhok        ,IRQ,2025-03-15 12:44:47.640,NA,1.00,"368",,,0.01,CBI,"4722"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Global Education         ,Duhok        ,IRQ,2025-03-15 12:44:23.817,NA,1.00,"368",,,0.01,CBI,"4722"
"100.00.100",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Approved,"2COCOM*2CO.COM*MAXON","8882471614",USA,2025-03-15 12:41:00.578,Non 3DS Txn,118.67,"840","368",155457.66,10104.75,VISA,"5818"
"100.00.113",Online Authorization,MANUAL (key entry),CARD_NOT_PRESENT,Approved,"2COCOM","8882471614",USA,2025-03-15 12:40:59.464,,0.00,"840",,,,VISA,"5818"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Valley Rest & Cafe       ,Duhok        ,IRQ,2025-03-15 12:36:31.826,NA,1.00,"368",,,0.01,CBI,"5812"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Valley Rest & Cafe       ,Duhok        ,IRQ,2025-03-15 12:35:54.682,NA,1.00,"368",,,0.01,CBI,"5812"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Abo Abdullah             ,Baghdad      ,IRQ,2025-03-15 12:23:16.488,NA,1.00,"368",,,0.01,CBI,"5533"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Abo Abdullah             ,Baghdad      ,IRQ,2025-03-15 12:22:25.092,NA,1.00,"368",,,0.01,CBI,"5533"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Xanadan                  ,Duhok        ,IRQ,2025-03-15 12:17:38.458,NA,1.00,"368",,,0.01,CBI,"5812"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Xanadan                  ,Duhok        ,IRQ,2025-03-15 12:17:11.487,NA,1.00,"368",,,0.01,CBI,"5812"
applyCharges,applyCharges,,,Approved,,,,2025-03-15 12:09:50.484,NA,3000.00,"368",,,,,
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Nala City Phone          ,Duhok        ,IRQ,2025-03-15 12:05:50.141,NA,1.00,"368",,,0.01,CBI,"4812"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Nala City Phone          ,Duhok        ,IRQ,2025-03-15 12:05:19.981,NA,1.00,"368",,,0.01,CBI,"4812"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:53:25.922,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:52:45.698,NA,1.00,"368",,,0.01,CBI,"5621"
wdebit,wdebit,,,Approved,,,,2025-03-15 11:52:34.374,NA,33000.00,"368",,,0.00,,
wdebit,wdebit,,,Approved,,,,2025-03-15 11:52:32.790,NA,1000.00,"368",,,0.00,,
wcredit,wcredit,,,Approved,,,,2025-03-15 11:50:15.088,NA,50000.00,"368",,,5500.00,,
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:45:19.012,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:44:47.868,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:39:47.675,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:37:47.210,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:27:32.833,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:26:51.871,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:17:53.575,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:17:20.911,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:00:35.791,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 11:00:00.214,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 10:40:41.901,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Pashmina                 ,Erbil        ,IRQ,2025-03-15 10:39:29.952,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Miqdad Zaaim Office      ,Duhok        ,IRQ,2025-03-15 10:02:41.196,NA,1.00,"368",,,0.01,CBI,"5943"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Miqdad Zaaim Office      ,Duhok        ,IRQ,2025-03-15 10:01:08.354,NA,1.00,"368",,,0.01,CBI,"5943"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,RB Dental Clinic         ,Erbil        ,IRQ,2025-03-15 07:34:17.189,NA,1.00,"368",,,0.01,CBI,"8021"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,RB Dental Clinic         ,Erbil        ,IRQ,2025-03-15 07:33:41.524,NA,1.00,"368",,,0.01,CBI,"8021"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Bayad Kindergarden 2     ,Erbil        ,IRQ,2025-03-15 07:06:46.025,NA,1.00,"368",,,0.01,CBI,"8351"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Bayad Kindergarden 2     ,Erbil        ,IRQ,2025-03-15 07:06:06.946,NA,1.00,"368",,,0.01,CBI,"8351"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Maktab Al Akhawayn       ,Baghdad      ,IRQ,2025-03-15 06:40:44.725,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Maktab Al Akhawayn       ,Baghdad      ,IRQ,2025-03-15 06:40:15.794,NA,1.00,"368",,,0.01,CBI,"5993"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Layad                    ,Karkuk       ,IRQ,2025-03-15 06:32:12.558,NA,1.00,"368",,,0.01,CBI,"5411"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Layad                    ,Karkuk       ,IRQ,2025-03-15 06:31:41.022,NA,1.00,"368",,,0.01,CBI,"5411"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *KS77NLUFV2,fb.me/ads,IRL,2025-03-15 06:12:39.574,Non 3DS Txn,5.05,"840","368",6615.50,430.01,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Majd                     ,Erbil        ,IRQ,2025-03-15 06:11:47.872,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Majd                     ,Erbil        ,IRQ,2025-03-15 06:11:11.816,NA,1.00,"368",,,0.01,CBI,"5993"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *PWGFWKQGV2       ,fb.me/ads    ,IRL,2025-03-15 03:00:00.859,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,MICROSOFT#G082930080     ,MSBILL.INFO  ,IRL,2025-03-15 03:00:00.684,,10.00,"840","368",13100.00,851.50,VISA,"5045"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,MICROSOFT#G082888713     ,MSBILL.INFO  ,IRL,2025-03-15 03:00:00.490,,5.00,"840","368",6550.00,425.75,VISA,"5045"
