"itc","transaction_type","pos_entry_mode","CARD_PRESENT/CARD_NOT_PRESENT","transaction_status","ca_name","ca_city","ca_country","date","eci","txn_amt","txn_curr","bill_curr","bill_amt","issuerfee","networkname","mcc"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Minimum account balance limit reached,ATLASSIAN,+14157011110,USA,2025-03-16 20:34:27.628,Non 3DS Txn,99.84,"840","368",130790.36,8501.37,VISA,"5734"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Minimum account balance limit reached,ATLASSIAN,+14157011110,USA,2025-03-16 20:18:32.402,Non 3DS Txn,99.84,"840","368",130790.36,8501.37,VISA,"5734"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *TPJ35L8GV2,fb.me/ads,IRL,2025-03-16 17:23:51.273,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *LE4VQJCX52,fb.me/ads,IRL,2025-03-16 17:09:52.937,Non 3DS Txn,55.00,"840","368",72049.98,4683.25,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Twimalik Smoke           ,Sulaymaniyah ,IRQ,2025-03-16 13:09:54.206,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Twimalik Smoke           ,Sulaymaniyah ,IRQ,2025-03-16 13:08:49.629,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-16 13:04:29.825,NA,1.00,"368",,,0.01,CBI,"4814"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 13:00:40.412,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 13:00:16.083,NA,1.00,"368",,,0.01,CBI,"5993"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:58:09.540,NA,1.00,"368",,,0.01,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Minimum account balance limit reached,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:57:47.042,NA,100000.00,"368",,,1000.00,CBI,"5993"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Terea Store              ,Erbil        ,IRQ,2025-03-16 12:57:03.076,NA,1.00,"368",,,0.01,CBI,"5993"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Jhe Jutyar               ,Duhok        ,IRQ,2025-03-16 12:46:57.957,NA,1.00,"368",,,0.01,CBI,"5499"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Jhe Jutyar               ,Duhok        ,IRQ,2025-03-16 12:46:33.621,NA,1.00,"368",,,0.01,CBI,"5499"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Peshangay Sarkawt        ,Sulaymaniyah ,IRQ,2025-03-16 12:32:07.723,NA,1.00,"368",,,0.01,CBI,"5732"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Peshangay Sarkawt        ,Sulaymaniyah ,IRQ,2025-03-16 12:26:03.377,NA,1.00,"368",,,0.01,CBI,"5732"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Start Click              ,Duhok        ,IRQ,2025-03-16 12:10:26.635,NA,1.00,"368",,,0.01,CBI,"5732"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Start Click              ,Duhok        ,IRQ,2025-03-16 12:08:51.334,NA,1.00,"368",,,0.01,CBI,"5732"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Baby Center              ,Duhok        ,IRQ,2025-03-16 12:00:10.436,NA,1.00,"368",,,0.01,CBI,"5641"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Baby Center              ,Duhok        ,IRQ,2025-03-16 11:59:23.507,NA,1.00,"368",,,0.01,CBI,"5641"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Niga Warehouse           ,Sulaymaniyah ,IRQ,2025-03-16 11:35:12.985,NA,1.00,"368",,,0.01,CBI,"5719"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Niga Warehouse           ,Sulaymaniyah ,IRQ,2025-03-16 11:34:39.747,NA,1.00,"368",,,0.01,CBI,"5719"
wdebit,wdebit,,,Approved,,,,2025-03-16 08:57:17.972,NA,33000.00,"368",,,0.00,,
wdebit,wdebit,,,Approved,,,,2025-03-16 08:57:16.364,NA,1000.00,"368",,,0.00,,
applyCharges,applyCharges,,,Approved,,,,2025-03-16 08:53:23.417,NA,3000.00,"368",,,,,
wcredit,wcredit,,,Approved,,,,2025-03-16 08:46:24.119,NA,91500.00,"368",,,5500.00,,
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,A&SHOES SHOP             ,Erbil        ,IRQ,2025-03-16 08:36:42.251,NA,1.00,"368",,,0.01,CBI,"5661"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,A&SHOES SHOP             ,Erbil        ,IRQ,2025-03-16 08:36:19.403,NA,1.00,"368",,,0.01,CBI,"5661"
"100.00.113",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Account Verification without CVV2 transaction is not allowed,Visa Provisioning Service,"",IRQ,2025-03-16 08:33:01.623,NA,0.00,"840",,,,VISA,"6012"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *CN73GJU432,Dublin,IRL,2025-03-16 08:32:59.689,Non 3DS Txn,33.00,"840","368",43229.99,2809.95,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Europe Home              ,Erbil        ,IRQ,2025-03-16 07:28:06.107,NA,1.00,"368",,,0.01,CBI,"5621"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Europe Home              ,Erbil        ,IRQ,2025-03-16 07:27:37.695,NA,1.00,"368",,,0.01,CBI,"5621"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Chwarchra Pharmacy       ,Sulaymaniyah ,IRQ,2025-03-16 07:22:16.312,NA,1.00,"368",,,0.01,CBI,"5912"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Chwarchra Pharmacy       ,Sulaymaniyah ,IRQ,2025-03-16 07:21:46.753,NA,1.00,"368",,,0.01,CBI,"5912"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:11:37.701,NA,1.00,"368",,,0.01,CBI,"7997"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:11:11.760,NA,1.00,"368",,,0.01,CBI,"7997"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Incorrect PIN,Fitness Home             ,Sulaymaniyah ,IRQ,2025-03-16 07:10:00.440,NA,1.00,"368",,,,CBI,"7997"
"100.00.100",Online Authorization,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *MWDTGMCGV2,fb.me/ads,IRL,2025-03-16 06:50:29.369,Non 3DS Txn,5.00,"840","368",6550.00,425.75,VISA,"7311"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Zada Oil                 ,Duhok        ,IRQ,2025-03-16 06:36:21.024,NA,1.00,"368",,,0.01,CBI,"5541"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Zada Oil                 ,Duhok        ,IRQ,2025-03-16 06:35:47.879,NA,1.00,"368",,,0.01,CBI,"5541"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Media Saray Cafe         ,Duhok        ,IRQ,2025-03-16 06:29:55.991,NA,1.00,"368",,,0.01,CBI,"5812"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Media Saray Cafe         ,Duhok        ,IRQ,2025-03-16 06:29:13.003,NA,1.00,"368",,,0.01,CBI,"5812"
"420.00.400",Reversal Advice,ICC,CARD_PRESENT,Approved,Mahalat Al Badeea        ,Saladin      ,IRQ,2025-03-16 06:02:11.296,NA,1.00,"368",,,0.01,CBI,"5999"
"100.00.100",Online Authorization,ICC,CARD_PRESENT,Approved,Mahalat Al Badeea        ,Saladin      ,IRQ,2025-03-16 06:01:30.193,NA,1.00,"368",,,0.01,CBI,"5999"
"222.00.200",Clearing,DATA_ON_FILE,CARD_NOT_PRESENT,Approved,FACEBK *SC9LWJGX52       ,fb.me/ads    ,IRL,2025-03-16 03:00:00.051,Non 3DS Txn,55.00,"840","368",72049.98,4683.25,VISA,"7311"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-16 00:18:20.515,NA,10.00,"368",,,0.10,CBI,"4814"
"100.00.100",Online Authorization,UNKNOWN,CARD_NOT_PRESENT,Approved,Operation Test           ,erbil        ,IRQ,2025-03-15 22:04:18.484,NA,10.00,"368",,,0.10,CBI,"4814"
